	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance	attendance
																			
	(0.209)	(0.0471)	(0.0454)	(0.0444)	(0.104)	(0.106)	(0.0977)	(0.0950)	(0.101)	(0.105)	(0.100)	(0.0974)	(1,723)	(0.132)	(0.126)	(0.122)	(1,686)	(0.182)	(0.177)
yearc74	0.166	-0.0840*	-0.0939**	-0.140***	-0.0140	-0.0290	-0.0816	-0.170*	-0.211**	-0.212**	-0.191*	-0.272***	0.0278	-0.244*	-0.276**	-0.297**	0.0170	-0.221	-0.197
	(0.209)	(0.0471)	(0.0453)	(0.0444)	(0.104)	(0.106)	(0.0976)	(0.0949)	(0.101)	(0.105)	(0.100)	(0.0973)	(1,723)	(0.132)	(0.126)	(0.122)	(1,686)	(0.182)	(0.177)
yearc75	0.112	-0.130***	-0.161***	-0.207***	-0.0614	-0.0572	-0.132	-0.225**	-0.268***	-0.258**	-0.255**	-0.337***	-0.0340	-0.299**	-0.341***	-0.367***	-0.0411	-0.273	-0.266
	(0.209)	(0.0471)	(0.0454)	(0.0444)	(0.104)	(0.106)	(0.0979)	(0.0951)	(0.102)	(0.105)	(0.100)	(0.0973)	(1,723)	(0.132)	(0.126)	(0.122)	(1,686)	(0.182)	(0.177)
yearc76	0.0913	-0.151***	-0.195***	-0.245***	-0.107	-0.0991	-0.187*	-0.282***	-0.296***	-0.280***	-0.290***	-0.372***	-0.0295	-0.291**	-0.346***	-0.372***	-0.0130	-0.241	-0.243
	(0.209)	(0.0471)	(0.0454)	(0.0444)	(0.104)	(0.106)	(0.0982)	(0.0952)	(0.102)	(0.105)	(0.100)	(0.0973)	(1,723)	(0.132)	(0.126)	(0.122)	(1,686)	(0.182)	(0.177)
yearc77	0.135	-0.0982**	-0.165***	-0.208***	-0.0508	-0.0424	-0.162	-0.253***	-0.254**	-0.235**	-0.265***	-0.348***	0.00681	-0.249*	-0.327***	-0.356***	0.0198	-0.208	-0.239
	(0.209)	(0.0473)	(0.0455)	(0.0445)	(0.104)	(0.106)	(0.0986)	(0.0956)	(0.102)	(0.105)	(0.100)	(0.0975)	(1,723)	(0.132)	(0.126)	(0.122)	(1,686)	(0.182)	(0.177)
yearc78	0.201	-0.0199	-0.104**	-0.149***	0.0127	0.0359	-0.0883	-0.174*	-0.181*	-0.157	-0.209**	-0.287***	0.0669	-0.187	-0.278**	-0.300**	0.0766	-0.145	-0.177
	(0.209)	(0.0473)	(0.0456)	(0.0446)	(0.104)	(0.107)	(0.0988)	(0.0958)	(0.102)	(0.105)	(0.101)	(0.0976)	(1,723)	(0.132)	(0.126)	(0.122)	(1,686)	(0.182)	(0.177)
yearc79	0.200	-0.0167	-0.0739	-0.122***	0.00873	0.0480	-0.0756	-0.165*	-0.180*	-0.150	-0.176*	-0.258***	0.0591	-0.191	-0.259**	-0.292**	0.0550	-0.161	-0.181
	(0.209)	(0.0474)	(0.0455)	(0.0445)	(0.104)	(0.107)	(0.0987)	(0.0957)	(0.102)	(0.105)	(0.100)	(0.0976)	(1,723)	(0.132)	(0.126)	(0.122)	(1,686)	(0.182)	(0.177)
