	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap	gap
																				
	(1.016)	(0.910)	(1.032)	(1.008)	(1.744)	(1.646)	(1.311)	(1.280)	(1.334)	(1.315)	(1.105)	(1.071)	(4,907)	(1.621)	(1.386)	(1.341)	(2.328)	(2.313)	(2.011)	(1.953)
yearc56	-0.199	0.473***	0.219	0.196	-1.070	0.953**	-0.751	-0.861	-0.757	0.743**	-0.554	-0.661	0.709	0.372	-0.627	-0.721	-1.857**	0.455	0.155	0.0377
	(0.539)	(0.131)	(0.504)	(0.492)	(1.110)	(0.387)	(0.742)	(0.724)	(0.674)	(0.311)	(0.642)	(0.622)	(4,907)	(0.297)	(0.606)	(0.587)	(0.828)	(0.327)	(0.687)	(0.667)
yearc57	-0.314	0.319***	-0.191	-0.0653	-1.158	0.823**	0.0306	0.139	-0.986	0.472	-0.380	-0.220	0.535	0.166	-0.765***	-0.613**	-2.291***	0.0135	-0.749**	-0.560**
	(0.537)	(0.120)	(0.124)	(0.123)	(1.106)	(0.367)	(0.349)	(0.349)	(0.670)	(0.297)	(0.285)	(0.280)	(4,907)	(0.285)	(0.265)	(0.261)	(0.825)	(0.317)	(0.291)	(0.284)
yearc58	-0.728	-0.139	-0.248**	-0.188*	-1.739	0.0410	-0.306	-0.289	-1.424**	-0.0509	-0.521**	-0.463*	0.0805	-0.408	-0.782***	-0.707***	-2.741***	-0.527*	-0.795***	-0.693**
	(0.536)	(0.116)	(0.111)	(0.110)	(1.104)	(0.350)	(0.321)	(0.322)	(0.668)	(0.290)	(0.264)	(0.259)	(4,907)	(0.279)	(0.250)	(0.245)	(0.824)	(0.312)	(0.279)	(0.271)
yearc59	-0.901*	-0.338***	-0.471***	-0.415***	-1.765	-0.173	-0.359	-0.353	-1.509**	-0.260	-0.695***	-0.618**	0.00392	-0.604**	-0.971***	-0.884***	-2.819***	-0.671**	-0.950***	-0.863***
	(0.536)	(0.115)	(0.108)	(0.107)	(1.104)	(0.339)	(0.307)	(0.308)	(0.668)	(0.285)	(0.256)	(0.251)	(4,907)	(0.276)	(0.245)	(0.241)	(0.824)	(0.311)	(0.276)	(0.269)
yearc60	-1.036*	-0.509***	-0.626***	-0.562***	-1.800	-0.349	-0.727**	-0.678**	-1.576**	-0.454	-0.878***	-0.789***	-0.113	-0.802***	-1.125***	-1.031***	-2.897***	-0.827***	-1.014***	-0.927***
	(0.536)	(0.114)	(0.107)	(0.105)	(1.104)	(0.332)	(0.295)	(0.297)	(0.668)	(0.281)	(0.251)	(0.245)	(4,907)	(0.274)	(0.242)	(0.238)	(0.824)	(0.309)	(0.274)	(0.266)
yearc61	-1.278**	-0.806***	-0.761***	-0.702***	-2.054*	-0.770**	-0.793***	-0.752**	-1.731***	-0.721***	-0.914***	-0.844***	-0.266	-1.029***	-1.131***	-1.050***	-3.051***	-1.020***	-1.050***	-0.968***
	(0.536)	(0.114)	(0.105)	(0.104)	(1.104)	(0.326)	(0.292)	(0.293)	(0.668)	(0.279)	(0.247)	(0.242)	(4,907)	(0.273)	(0.240)	(0.236)	(0.823)	(0.309)	(0.273)	(0.265)
yearc62	-1.170**	-0.696***	-0.694***	-0.614***	-1.943*	-0.662**	-0.677**	-0.623**	-1.674**	-0.678**	-0.896***	-0.788***	-0.174	-0.954***	-1.096***	-0.975***	-2.957***	-0.938***	-0.986***	-0.873***
	(0.536)	(0.114)	(0.104)	(0.103)	(1.104)	(0.325)	(0.288)	(0.289)	(0.667)	(0.278)	(0.244)	(0.239)	(4,907)	(0.273)	(0.238)	(0.234)	(0.823)	(0.308)	(0.271)	(0.264)
yearc63	-1.182**	-0.745***	-0.635***	-0.562***	-1.923*	-0.726**	-0.624**	-0.552**	-1.624**	-0.688**	-0.815***	-0.704***	-0.108	-0.940***	-0.952***	-0.842***	-2.883***	-0.891***	-0.844***	-0.739***
	(0.536)	(0.113)	(0.103)	(0.102)	(1.103)	(0.323)	(0.280)	(0.281)	(0.667)	(0.277)	(0.241)	(0.236)	(4,907)	(0.272)	(0.237)	(0.233)	(0.823)	(0.308)	(0.271)	(0.263)
yearc64	-1.127**	-0.704***	-0.767***	-0.665***	-1.788	-0.672**	-0.706***	-0.623**	-1.490**	-0.622**	-0.873***	-0.734***	0.0353	-0.841***	-0.966***	-0.820***	-2.754***	-0.789**	-0.833***	-0.709***
	(0.536)	(0.113)	(0.102)	(0.101)	(1.103)	(0.321)	(0.268)	(0.269)	(0.667)	(0.276)	(0.236)	(0.230)	(4,907)	(0.272)	(0.234)	(0.230)	(0.823)	(0.308)	(0.269)	(0.262)
yearc65	-1.164**	-0.764***	-0.932***	-0.834***	-1.863*	-0.788**	-0.947***	-0.862***	-1.502**	-0.684**	-1.072***	-0.922***	0.0301	-0.876***	-1.114***	-0.969***	-2.746***	-0.804***	-0.953***	-0.839***
