	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears	eduyears
															
	(15,403)	(0.327)	(0.308)	(3.897)	(1.199)	(0.700)	(3.740)	(0.622)	(0.472)	(3.775)	(0.602)	(0.477)	(13,176)	(0.553)	(0.472)
yearc69	-0.318	-0.408	-0.357	0.221	-1.766	-0.706	4.157	-0.953	-0.868*	4.406	-0.530	-0.478	0.429	-0.442	-0.258
	(15,403)	(0.327)	(0.308)	(3.898)	(1.220)	(0.717)	(3.740)	(0.622)	(0.474)	(3.775)	(0.602)	(0.479)	(13,176)	(0.553)	(0.473)
yearc70	-0.471	-0.556*	-0.482	0.157	-1.713	-0.574	4.047	-1.009	-0.790*	4.286	-0.518	-0.466	0.350	-0.438	-0.199
	(15,403)	(0.330)	(0.310)	(3.900)	(1.180)	(0.686)	(3.741)	(0.628)	(0.476)	(3.776)	(0.607)	(0.480)	(13,176)	(0.559)	(0.479)
yearc71	0.105			0.655			4.984			4.867			0.917		
	(15,403)			(3.946)			(3.769)			(3.809)			(13,176)		
country1	2.959***	-0.587**	-2.728***	-14.52	4.173	-0.576	2.933***	2.868***	-0.721	3.297***	1.758**	-1.307***	5.047	1.295***	-1.595***
	(0.179)	(0.279)	(0.257)	(54,843)	(2.950)	(0.960)	(0.259)	(1.012)	(0.666)	(0.255)	(0.692)	(0.461)	(13,084)	(0.473)	(0.357)
country2	0.324*	-3.527***	-2.130***	-17.07	-2.013***	-0.894	0.271	-2.623***	-1.053**	0.0895	-3.299***	-1.596***	1.170	-3.655***	-1.946***
	(0.174)	(0.108)	(0.174)	(54,843)	(0.781)	(0.585)	(0.251)	(0.311)	(0.420)	(0.228)	(0.203)	(0.291)	(13,084)	(0.150)	(0.200)
country3	-1.252***	-5.268***	-3.641***	-18.62	-6.593***	-3.931***	-1.243***	-6.434***	-4.025***	-1.333***	-6.171***	-3.913***	-0.313	-5.889***	-3.826***
	(0.198)	(0.155)	(0.167)	(54,843)	(1.157)	(0.324)	(0.285)	(0.427)	(0.258)	(0.257)	(0.339)	(0.227)	(13,084)	(0.245)	(0.216)
country4	4.508***	0.640***	0.826***	-12.87	1.845***	0.776***	4.561***	1.193***	0.620***	4.476***	0.632***	0.674***	5.558	0.361**	0.792***
	(0.177)	(0.109)	(0.130)	(54,843)	(0.594)	(0.227)	(0.255)	(0.229)	(0.182)	(0.233)	(0.158)	(0.182)	(13,084)	(0.153)	(0.189)
country5	-1.575***	-5.610***	-3.999***	-19.17	-7.419***	-4.323***	-1.637***	-6.999***	-4.513***	-1.663***	-6.586***	-4.327***	-0.525	-6.136***	-4.159***
	(0.181)	(0.141)	(0.139)	(54,843)	(1.303)	(0.313)	(0.261)	(0.439)	(0.231)	(0.236)	(0.338)	(0.206)	(13,084)	(0.229)	(0.186)
country6	-0.483***	-4.407***	-3.131***	-18.03	-4.924***	-2.476***	-0.404	-4.844***	-2.595***	-0.415*	-4.685***	-2.784***	0.682	-4.565***	-2.970***
	(0.183)	(0.114)	(0.156)	(54,843)	(0.534)	(0.295)	(0.261)	(0.250)	(0.221)	(0.238)	(0.200)	(0.182)	(13,084)	(0.166)	(0.176)
